Searched Food code,Food_Name,Prompt Type,name,text,description,option-label,option-short-label,Replacement Food Code,Prompt Type,name,text,description,option-label,option-short-label,Replacement Food Code,Prompt Type,name,text,description,option-label,option-short-label,Replacement Food Code
1234,"Greek yogurt, fat free (0% M.F.)",radio,Flavour,Flavour,What flavour was it?,Fruit (all flavours),Fruit,,radio,Brand,Brand,What brand was it?,Irresistibles,Irresistibles,6980,,,,,,,
,,,,,,,,,,,,,Kirkland,Kirkland,6980,,,,,,,
,,,,,,,,,,,,,Liberté,Liberté,6980,,,,,,,
,,,,,,,,,,,,,Oikos,Oikos,6980,,,,,,,
,,,,,,,,,,,,,President's choice (PC),PC,6980,,,,,,,
,,,,,,,,,,,,,Other,Other,6980,,,,,,,
,,,,,,,,,,,,,Don't know,Don't know,6980,,,,,,,
,,,,,,Plain,Plain,,radio,Brand,Brand,What brand was it?,Irresistibles,Irresistibles,6979,,,,,,,
,,,,,,,,,,,,,Kirkland,Kirkland,6979,,,,,,,
,,,,,,,,,,,,,Liberté,Liberté,6979,,,,,,,
,,,,,,,,,,,,,Oikos,Oikos,6979,,,,,,,
,,,,,,,,,,,,,Olympic,Olympic,6979,,,,,,,
,,,,,,,,,,,,,Our Finest,Our Finest,6979,,,,,,,
,,,,,,,,,,,,,President's choice (PC),PC,6979,,,,,,,
,,,,,,,,,,,,,Stotidakis,Stotidakis,6979,,,,,,,
,,,,,,,,,,,,,Other,Other,6979,,,,,,,
,,,,,,,,,,,,,Don't know,Don't know,6979,,,,,,,
5678,"Greek yogourt, 6% + M.F.",radio,Plain or Flavoured,Plain or Flavoured,Was it plain or flavoured?,Flavoured,Flavoured,,radio,Brand,Brand,What brand was it?,Greek Gods,Greek Gods,6983,,,,,,,
,,,,,,,,,,,,,Oikos,Oikos,6983,,,,,,,
,,,,,,,,,,,,,Olympic Krema,Olympic,6983,,,,,,,
,,,,,,,,,,,,,President's choice (PC),PC,6983,,,,,,,
,,,,,,,,,,,,,Other,Other,6983,,,,,,,
,,,,,,,,,,,,,Don't know,Don't know,6983,,,,,,,
,,,,,,Plain,Plain,,radio,Brand,Brand,What brand was it?,Greek Gods,Greek Gods,6982,,,,,,,
,,,,,,,,,,,,,Oikos,Oikos,6982,,,,,,,
,,,,,,,,,,,,,Olympic Krema,Olympic,6982,,,,,,,
,,,,,,,,,,,,,Skotidakis,Skotidakis,6982,,,,,,,
,,,,,,Don't Know,Don't Know,6983,,,,,,,,,,,,,,
1234,Yogurt,yes-no,Enjoy,Enjoy,Did you enjoy your yogurt?,Yes,,,radio,Question 1,Question 1,Question 1,Option 1,1,1,,,,,,,
,,,,,,,,,,,,,Option 2,2,2,,,,,,,
,,,,,,No,,,radio,Question 2,Question 2,Question 2,Option 3,3,3,,,,,,,
,,,,,,,,,,,,,Option 4,4,4,,,,,,,
